article_id,mt5_summary,llama3_reason,gemma2_reason,qwen_reason,llama3_error,gemma2_error,qwen_error,final_error_type,votes_faithful,final_verdict,status
140427_pg_bd_heat_dhaka_ac,বাংলাদেশের রাজধানী ঢাকায় শীতাতপ নিয়ন্ত্রণের যন্ত্র বা এসি বিক্রি বেড়ে গেছে।,,All claims are supported.,"The report mentions a contradiction where the claim talks about an increase in sales, but the provided reason states that there are no air conditioners available for sale.",None,None,Entity,None,2,True,Faithful
news-56880849,বাংলাদেশে করোনাভাইরাসের সংক্রমণ শনাক্তের হার গত ২৪ ঘণ্টায় বেশ কমে এসেছে বলে স্বাস্থ্য বিভাগের কর্মকর্তারা বলছেন।,,The claim specifies a timeframe (last 24 hours) that is not explicitly mentioned in the provided text.,All claims are supported.,None,Date/Time,None,None,2,True,Faithful
news-42949518,"ভারতের উত্তরপ্রদেশ রাজ্যের আগ্রা তাজমহলকে ঘিরে হিন্দু ও মুসলিমদের ঐতিহ্যকে কেন্দ্র করে যে 'তাজ মহোৎসব' আয়োজন করা হয়ে থাকে, সেই উৎসবের মূল থিম হিসে",,The claim about the main theme of the Taj Mahotsav being the celebration of shared heritage is not supported by the provided text.,"The claims about the event's focus on shared heritage and inclusion of both Hindu and Muslim traditions are not fully supported by the provided information, which suggests a shift towards celebrating Ram Leela and Ram veneration.",None,Other,Theme/Content,Theme/Content,1,False,Hallucinated
news-56080104,"বাংলাদেশের সেনাবাহিনী প্রধান জেনারেল আজিজ আহমেদ বলেছেন, 'অফিশিয়াল কোন প্রোটোকল ব্যবহার করা আমি সমীচীন মনে করি না।'",,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-54239981,বাংলাদেশে শীতের সময় করোনাভাইরাসের প্রকোপ বাড়ার আশংকা তুলে ধরে রোডম্যাপ তৈরির পরিকল্পনা করেছে সরকার।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-49144997,গত সপ্তাহে পাকিস্তানের রাজনৈতিক নেতাদের একটি সাক্ষাৎকার মাঝপথে বন্ধ করে দেওয়া হয়েছিল।,"The text does not provide information about the timing of the meeting, which is necessary to verify the claim.",The report states there is no mention of a meeting being interrupted.,"The report mentions that the article does not discuss any meeting with Pakistan's political leaders being halted during an interview, but rather talks about the banning of interviews and meetings of opposition leaders by TV channels.",Missing Info,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-56878093,বাংলাদেশে করোনাভাইরাসের প্রথম ডোজ টিকাদান কার্যক্রম বন্ধ রাখার সিদ্ধান্ত নিয়েছে সরকার।,,All claims are supported.,All claims in the report are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-51083336,যুক্তরাষ্ট্রের একটি বেসরকারি কোম্পানি ভার্জিন গ্যালাকটিক ঘোষণা করেছে যে তারা প্রথমবারের মতো পর্যটকদের মহাকাশে নিয়ে যাবে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46679946,ইতালিতে অবৈধভাবে সন্তানদের খৎনা করানোর ঘটনায় একজন ডাক্তারের মৃত্যু হয়েছে।,The text does not support the claim that a doctor died in Italy due to an illegal abortion.,"The report states that the text does not mention a doctor dying during a circumcision, indicating a missing or incorrect entity.",The report mentions that the claim about a doctor dying due to an illegal practice of sterilization of children in Italy is not supported by the text.,Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-47301727,সিরিয়া থেকে ব্রিটেনে চলে যাওয়া বাংলাদেশী বংশোদ্ভূত শামীমা বেগম তার ব্রিটিশ নাগরিকত্ব বাতিল করেছেন।,,The report states that the text does not confirm Shamima Begum renounced her British citizenship.,"The report does not explicitly support the claim that Shamima Begum's British citizenship has been revoked, only suggesting the possibility based on her age and actions.",None,Missing Info,Entity,Missing Info,1,False,Hallucinated
news-49709690,"বাংলাদেশের রাজধানী ব্রাক্ষ্মনবাড়িয়া থেকে ঢাকায় আসা প্রিয়াঙ্কা তরফদার গত পাঁচ বছরে ট্রেনে পাথর ছুড়ে ২,০০০ বেশি জানালা-দরজা ভাঙ্গার ঘটনা ঘটেছে।","The article does not mention Priyanka Tarafder breaking more than 2,000 windows and doors on trains coming from Brahmanbaria to Dhaka.","The report states that the text does not mention Priyankha Tarfadar throwing stones, which is a key part of the claim.",The entity 'Priyangka Tarafdar' is not supported in the report as there is no specific mention of her throwing stones from Dhaka to Brackshamdia.,Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-56546869,ইসরায়েলের নির্বাচনে প্রধানমন্ত্রী বেনিয়ামিন নেতানিয়াহুকে ক্ষমতা থেকে বিদায় করে দিতে ভূমিকা রেখেছে একটি আরব রাজনৈতিক দল।,"The report claims that a leading Arab political party played a role in removing Israeli Prime Minister Benjamin Netanyahu from power, but the text does not support this claim.",All claims are supported.,The report does not provide explicit evidence that an Arab political party played a key role in ousting Prime Minister Benjamin Netanyahu from power.,Contradiction,None,Entity,Contradiction,1,False,Hallucinated
news-56728594,বাংলাদেশে আজ থেকে ব্যাংকিং বিধিনিষেধ কার্যকর হচ্ছে।,,"The claim states the restrictions are being implemented today, but the report says they will be implemented on April 14th.",All claims are supported by the provided reason.,None,Date/Time,None,None,2,True,Faithful
news-52668365,বাংলাদেশে করোনাভাইরাসের সংক্রমণ ঠেকাতে সরকারের পক্ষ থেকে প্রায় সাত কোটি মানুষকে খাদ্য সহায়তা দেয়ার কার্যক্রম শুরু হয়েছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-45932627,ইস্তাম্বুলের সৌদি কনস্যুলেটের ভেতর থেকে নিহত নাগরিক জামাল খাসোগজির ঘটনা সম্পর্কে যে খবর পাওয়া গেছে তা নিয়ে নতুন করে আলোচনা শুরু হয়েছে।,None,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46002945,"দিল্লি বিশ্ববিদ্যালয়ের রাষ্ট্রবিজ্ঞানের এম এ ক্লাস থেকে ছাত্রছাত্রীদের পড়তে বলা হয়েছে, এমন চারটি বইকে বাদ দেওয়ার প্রক্রিয়া শুরু করেছে ওই বিশ্ববিদ্যালয়।",,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-42139703,ভারতের সুপ্রিম কোর্ট তার মুসলিম স্বামী শাফিন জাহানকে ইসলামে ধর্মান্তরিত করার অনুমতি দিয়েছে।,The text does not support the claim that the Supreme Court of India has allowed Shafin Jahan to convert to Islam.,The report states the claim is not supported because the text does not mention Shafin Jahan converting to Islam.,"The report incorrectly states that the Supreme Court granted permission for Shafin Jehan to convert, when in fact, it only allowed Hadiya to live with her husband.",Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-48499557,উত্তর কোরিয়ার সাবেক গুপ্তচর প্রধান কিম ইয়ং-চোলকে শাস্তি হিসেবে শ্রম শিবিরে পাঠানোর খবর বেরুনোর পর তাকে আবার নিখোঁজ করা হয়েছে।,The text does not support the claim that Kim Yong-chol was sent to a labor camp as punishment for his involvement in an assassination.,"The claim about Kim Yong-chol's disappearance is not supported, as the text states he was seen at a music event. This leaves the status of his disappearance unclear.","The second claim is not supported by the provided information, as it mentions Kim being declared missing again, which is not mentioned in the first claim.",Contradiction,Missing Info,Missing Info,Missing Info,0,False,Hallucinated
news-48081272,"আপনি যদি ২০ বছর বয়সে আপনার মস্তিষ্ক প্রথমবারের মতো উদ্ভাবনী চিন্তার হটস্পটে পরিণত হয়, সেই বয়স ফেলে আসেন।","The text does not explicitly state that the brain develops creatively at the age of 20, similar to the first spark of thought in the mind.","The report states that the claim is incorrect because it suggests 20 is when the brain first becomes a hotspot for innovative thinking, while the text says it is the age when the brain first becomes a hotspot.","The report contains a claim that is not supported by the given information, as the text does not suggest that regeneration of the brain at age 20 leads to losing that age.",Missing Info,Date/Time,Other,Missing Info,0,False,Hallucinated
news-40377323,ইউরোপীয় কাউন্সিলের প্রেসিডেন্ট টেরিজা মে বলেছেন ইউকে থেকে ব্রিটেনের অভিবাসীদের বের হয়ে যাওয়ার জন্য একটি প্রস্তাব দিয়েছে তারা।,The text does not mention Ursula von der Leyen proposing a plan for the departure of British expats from the UK.,"The report states the UK does not want immigrants to leave, contradicting the claim that the President of the European Council proposed that they do.","The report mentions that there is no proposal or amendment by the President of the European Council regarding the departure of British citizens from the UK, indicating an incorrect entity in the claim.",Contradiction,Contradiction,Entity,Contradiction,0,False,Hallucinated
news-48151325,ঘূর্ণিঝড় 'ফণী' বাংলাদেশের দক্ষিণ-পশ্চিমাঞ্চলের দিকে এগিয়ে যাচ্ছে বলে জানিয়েছেন আবহাওয়া বিভাগের সচিব বজলুর রশীদ।,,The cyclone mentioned in the report is not named 'Fani' as stated in the claim.,"The report contains unsupported entities such as 'Bajlur Rahman' and 'averaged weather division secretary', and also contradicts the specific name and direction of the cyclone.",None,Entity,Entity,Entity,1,False,Hallucinated
news-55754177,বাংলাদেশে প্রবীণদের দেখভালের ক্ষেত্রে গৃহপরিচারিকাদের ওপর নির্ভর করতে বাধ্য হচ্ছেন পরিবারের সদস্যরা।,,All claims are supported.,All claims are supported and there is no contradiction or missing information.,None,None,None,None,3,True,Faithful
news-48742054,বাংলাদেশ ক্রিকেট দল বিশ্বকাপের ষষ্ঠ আসরে মুখোমুখি হচ্ছে।,"The article does not mention the specific World Cup edition, so it's unclear which one is being referred to.","The report states that the text does not mention the edition of the Cricket World Cup, making the claim unsupportable.","The report indicates that there is no mention of the Bangladesh cricket team facing in the 6th edition of the World Cup, making the claim not supported.",Missing Info,Missing Info,Entity,Missing Info,0,False,Hallucinated
news-52220120,বাংলাদেশে করোনাভাইরাস মহামারির কারণে কর্মহীন এবং দরিদ্র মানুষের জন্য ত্রাণ সহায়তা দেয়ার তালিকা তৈরির কাজ শুরু হয়েছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-48290970,ইন্দোনেশিয়ায় গত ১৭ই এপ্রিল অনুষ্ঠিত হওয়া প্রেসিডেন্ট নির্বাচনের সময় এবং পরবর্তী কয়েকদিনের মাথায় ৫০০ জনেরও বেশি নির্বাচনী কর্মকর্তা মারা যাওয়ার খবর পাওয়া গেছে,"The report claims that more than 500 election officials were killed, but the article only mentions 270 officials were killed in the election process, which contradicts the claim.",All claims are supported.,All claims are supported.,Contradiction,None,None,None,2,True,Faithful
news-52345995,করোনাভাইরাস সংক্রমণ ঠেকাতে বিভিন্ন রকম ওষুধ তৈরির চেষ্টায় আছেন ব্রিটেনের বিজ্ঞানীরা।,,"The report states that scientists are testing existing drugs, not creating new ones to prevent infection.",All claims are supported by the provided information.,None,Other,None,None,2,True,Faithful
news-49173643,তিন মাস বয়সে জ্যাকি এবং তার স্বামী জুলিয়ান একেবারেই ঘুমাতে পারেননি।,The text does not provide information about Julia's sleep patterns or inability to sleep for three months.,"The claim attributes sleeplessness to Jackie and Julian, but the text refers to Jackie's children.",The report mentions issues related to Jackie and Julian's children's sleep problems rather than their own inability to sleep.,Missing Info,Entity,Entity,Entity,0,False,Hallucinated
news-48488145,বাংলাদেশের অন্যতম প্রধান রাজনৈতিক দল জাতীয় পার্টির মধ্যে অঙ্গীকার ভঙ্গের অভিযোগে দলের কয়েকজন এমপিকে কারণ দর্শানোর নোটিশকে কেন্দ্র করে বিতর্ক শুরু হয়েছে।,,All claims are marked as 'Supported',The second claim is not supported as it introduces new information (a breach of trust) that was not present in the original report.,None,None,Other,None,2,True,Faithful
news-46175088,নেটফ্লিক্সে অভিনয় করা একজন অভিনেত্রী মারা গেছেন।,None,All claims are supported.,The report does not provide enough information to confirm if the actress was indeed working on a Netflix project at the time of her death.,None,None,Missing Info,None,2,True,Faithful
news-56602385,ভারতের সুপ্রাচীন শহর বারাণসীতে হিন্দুদের কাশী বিশ্বনাথ মন্দির ও মুসলিমদের জ্ঞানবাপী মসজিদ ফিরিয়ে দেওয়ার দাবিতে উত্তরপ্রদেশের একটি আদালত রায় দিয়েছে।,JSON Parse Error,The report states that the text does not mention a ruling on returning either structure.,"Claims 8 and 9 suggest that the case involves examining the site by a committee of five members from the Archaeological Survey of India, which is not typically associated with demolition cases.",Parse Error,Missing Info,Contradiction,Missing Info,0,False,Hallucinated
news-55427149,"বাংলাদেশে করোনাভাইরাস মহামারির কারণে শিক্ষা প্রতিষ্ঠান বন্ধ থাকায় বাবা-মায়েরা আশঙ্কা প্রকাশ করে বলছেন, তাদের সন্তানদের মোবাইল এবং ইন্টারনেটের প্রতি আসক্তি বাড়তে পারে।",,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-50441857,স্তন ক্যান্সারের চিকিৎসায় ব্যবহৃত কিছু ভেষজ পিল রক্ত জমাট করতে বিলম্ব ঘটায়।,The text does not provide any evidence or information that suggests herbal pills delay the clotting of blood in breast cancer treatment.,Claim: The article states that herbal pills are effective in treating cancer. Status: Not Supported. The text does not support this claim.,All claims are supported and there is no contradiction or missing information.,Not Supported,Other,None,Other,1,False,Hallucinated
news-55075456,"বাংলাদেশের রাজধানী ঢাকার বাসিন্দা সাহিদা বেগম বলেছেন, পেঁয়াজের বীজ উৎপাদনের কাজ শুরু হয়েছে।","The text does not mention Dhaka, the capital of Bangladesh, as the location of onion seed production.",All claims are supported.,"The report mentions pimento seed farming rather than chili production and does not refer to Dhaka, Bangladesh.",Entity,None,Entity,Entity,1,False,Hallucinated
news-55806686,"যুক্তরাজ্যে করোনাভাইরাসের যে নতুন ধরনটি শনাক্ত হয়েছে, তাতে আক্রান্ত হয়ে সাত জনের নমুনা পরীক্ষা করে দেখা হয়েছে।","The article does not provide information about the number of patients tested with the new variant, which contradicts Claim 2.","The report states 28 out of 157 samples tested positive, contradicting the claim of 7 samples.","The second claim states a specific number (seven) which is not supported by the provided information, as the data given refers to a different number (157 samples tested).",Missing Info,Number,Number,Number,0,False,Hallucinated
news-56766795,বাংলাদেশে ২য় ঢেউয়ে আক্রান্ত এবং মৃত্যু বেড়েছে।,,All claims are supported.,"Both claims refer to events (cyclone and death toll) that are not supported by the provided report, as they do not mention any cyclone or its impact on the death toll.",None,None,Entity,None,2,True,Faithful
news-50280907,সিঙ্গাপুরের একটি কারাগারে দু'জন নান এবং কয়েদিকে মৃত্যুদণ্ড দেয়া হয়েছে।,,All claims are supported.,The report does not support the specific location being a garage.,None,None,Location,None,2,True,Faithful
news-54898675,বাংলাদেশে অনেকেই মানসিক স্বাস্থ্য সমস্যায় আক্রান্ত হন।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-41902828,বাংলাদেশে মোবাইল ফোনের আঙুলের ছাপ এবং জাতীয় পরিচয়পত্রের তথ্য চুরি করার অভিযোগে পুলিশের অপরাধ তদন্ত বিভাগ (সিআইডি) অভিযান চালিয়ে ১২০০ সিম জব্দ করেছে।,,The report states concerns about data security during SIM registration but doesn't explicitly confirm the raid was due to fingerprint and national identity card theft allegations.,Both claims are supported by the provided reasons.,None,Other,None,None,2,True,Faithful
news-51629780,মারকোস লেমা আদ্দিস আবাবায় নিজের অফিসে বসবাস করছেন। কিন্তু তার বাড়িতে কোন ইন্টারনেট সংযোগ ছিল না।,"The text does not provide information about Marcos Lemar's living arrangements or location, which contradicts the claim.",The report states the text does not mention the internet connection status of Marcos Lema Ada's house.,The second claim is not supported by the provided information.,Missing Info,Missing Info,Missing Info,Missing Info,0,False,Hallucinated
news-51381825,চীনের উনান প্রদেশের একটি রেলস্টেশনকে জীবাণুমুক্ত করেছে করোনাভাইরাস।,,All claims are supported.,"The report does not explicitly confirm that the station has been made virus-free of coronavirus, only that efforts are being made towards this goal.",None,None,Other,None,2,True,Faithful
news-49362977,বাংলাদেশের স্বাধীনতা আন্দোলনের প্রতিষ্ঠাতা রাষ্ট্রপতি শেখ মুজিবুর রহমানকে হত্যার ঘোষণা প্রচার করা হয়েছিল ১৯৭২ সালে।,"The report claims Sheikh Mujibur Rahman was declared dead in 1972, but the reason provided suggests he was actually assassinated, which is a contradiction.",All claims are supported by the provided text.,The report does not support the specific year 1972 for the proclamation of the assassination.,Contradiction,None,Date/Time,Contradiction,1,False,Hallucinated
news-48872060,বাংলাদেশে স্বর্ণের দাম গত কয়েক বছর ধরে বাড়ছে। কিন্তু এই বৃদ্ধি নিয়ে মানুষের মধ্যে উদ্বেগ তৈরি হয়েছে।,,"The claim states that the price increase has been happening for 'the past few years', but the provided text only mentions recent increases. This lack of information makes it impossible to verify the claim fully.",Both claims are supported by the provided reasons.,None,Missing Info,None,None,2,True,Faithful
news-44246998,"""আমার ঋতুকালীন পরিচ্ছন্নতা বা নিরাপদ ব্যবস্থাপনা না থাকার অন্যতম কারণ সমাজের রক্ষণশীলতা।""",,The report states the claim is contradicted by the text provided.,All claims are supported.,None,Contradiction,None,None,2,True,Faithful
news-45332030,আপনি কি জানেন যে বিশ্বের সবচেয়ে দামী খাবারগুলোর একটি হলদে রঙিন করা হয়?,"The article does not support the claim that the world's most expensive foods are yellow-colored, as it mentions various expensive foods with different colors, but does not specifically state that the most expensive foods are yellow-colored.","The claim is too broad. While saffron is mentioned as a yellow expensive food, the report doesn't confirm that all expensive foods are yellow.",All claims are supported by the provided reasoning.,Contradiction,Other,None,Contradiction,1,False,Hallucinated
news-51217515,বাংলাদেশ ক্রিকেট দলের সাবেক অধিনায়ক মুকিম চৌধুরী ঢাকা বিশ্ববিদ্যালয়ের জহুরুল হক হলে ছাত্র নির্যাতনের প্রতিবাদে রাজু ভাস্কর্যে অবস্থান নিয়েছেন।,,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-46972950,বাংলাদেশের একটি আদালত দুর্নীতি দমন কমিশনের কাছে মাল্টি লেভেল মার্কেটিং কোম্পানি ইউনিপেটুইউ -এর ছয়জন কর্মকর্তাকে ১৩৫১ কোটি টাকা অনিয়মের দায়ে কারাদণ্ড দিয়েছে।,,The report states that the court handed down a sentence but doesn't specify who filed the case.,Both claims are supported by the provided report.,None,Missing Info,None,None,2,True,Faithful
news-42326655,ভারতে নবরাত্রির সময়ে কন্ডোমের বিজ্ঞাপন দেখানোর ওপর বিধিনিষেধ আরোপ করেছে তথ্য ও সম্প্রচার মন্ত্রণালয়।,,The report states that the text does not mention a ban on condom advertisements during Navratri.,"The report does not support the claim about a ban on condom advertisements during Diwali, as it only states the time restrictions for showing such advertisements.",None,Missing Info,Date/Time,Missing Info,1,False,Hallucinated
news-48835708,"ইরানের প্রেসিডেন্ট হাসান রৌহানি বলেছেন, ইরান সমৃদ্ধ ইউরেনিয়ামের ওপর নিষেধাজ্ঞা আরোপ করেছে।",,"The claim states Iran imposed restrictions, but the report says Iran will limit its stockpile.",The claim is not supported because the report indicates that Iran is limiting its enriched uranium stockpile rather than imposing sanctions on abundant uranium.,None,Other,Entity,Entity,1,False,Hallucinated
news-48303883,অনলাইন ব্যাংকিং-এর তথ্য চুরি করে হাতিয়ে নেয়া এমন একটি বড় ধরনের সাইবার অপরাধ বিরোধী পুলিশি অভিযান ঠেকানো হয়েছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46578414,"আমাদের মস্তিস্ক আসলে কিভাবে নতুন কিছু শিখতে পারে, তা নিয়ে একটি গবেষণায় দেখা যাচ্ছে।",,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-50798626,বাংলাদেশে ১৯৭১ সালের মুক্তিযুদ্ধের সময় পাকিস্তানী বাহিনীকে সহায়তার অভিযোগে ধরে নিয়ে যাওয়া কয়েকজন রাজাকারের আনুষ্ঠানিক তালিকা প্রকাশ করা হয়েছে।,,"The report states that Pakistani forces did not arrest Razakars, contradicting the first claim.",All claims are supported by the provided reason.,None,Entity,None,None,2,True,Faithful
news-46874688,বাংলাদেশে পৌষসংক্রান্তি উপলক্ষে মাছ মেলায় বিক্রির জন্য একটি কাতলার দাম ১ লাখ ২০ হাজার টাকা হাঁকা হয়েছে বলে জানিয়েছেন সিলেটের এক ব্যবসায়ী।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-55242258,আরব আমিরাতের প্রধানমন্ত্রী শেখ হামাদ বিন খলিফা আল নাহিয়ান ইসরায়েলের শীর্ষস্থানীয় ফুটবল ক্লাবকে বিক্রি করেছেন।,The text does not mention Sheikh Hamad bin Khalifa Al Nahyan selling the top Israeli football club.,"The report states that Sheikh Hamad bin Khalifa Al Nahyan is investing in the club, not Sheikh Mohammed bin Zayed Al Nahyan as claimed.","The claim refers to a sale which was not mentioned in the report; instead, it stated an investment plan.",Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-54159266,"সামাজিক যোগাযোগমাধ্যম ফেসবুক ও ইউটিউবে সেপ্টেম্বর মাসে প্রকাশিত একটি গান, যার শিরোনাম 'বাবু খাইছো'।",None,All claims are supported.,All claims are supported by the provided information.,None,None,None,None,3,True,Faithful
news-40652345,"অনলাইন নির্ভর এক জীবন তরুণ-তরুনীদেরকে আরো উদ্বিগ্ন, অসম্পূর্ণ ও ভীত করে তুলতে পারে, বলছে একটি গবেষণা।",,All claims are supported by the provided text.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-45011087,বাংলাদেশের রাজধানী ঢাকায় চলমান সড়ক দুর্ঘটনার পর নৌ পরিবহন মন্ত্রী মাহবুবুর রহমানের প্রতিক্রিয়া নিয়ে সামাজিক যোগাযোগ মাধ্যমে ব্যাপক সমালোচনা চলছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-47885378,ভারতের প্রধান নির্বাচন কমিশনাররা দেশটির রাষ্ট্রপতি নরেন্দ্র মোদীর কাছে একটি চিঠি লিখেছেন।,,"The claim states the letter was written to the President of India, but doesn't specify the President's name.","The report does not specify which Chief Election Commissioner wrote the letter, leading to an error in identifying the exact entity involved.",None,Entity,Entity,Entity,1,False,Hallucinated
news-53929704,বাংলাদেশ করোনাভাইরাসের টিকার ক্লিনিক্যাল ট্রায়ালের অনুমতি দিয়েছে চীন।,"The report contradicts itself, as claims 1 and 6 are 'Supported', while claims 2-5 and 7-10 are 'Not Supported'.","The claim attributes the approval of clinical trials to China, while the report states Bangladesh approved the trials for a Chinese vaccine.",All claims are supported by the provided reason.,Contradiction,Entity,None,Contradiction,1,False,Hallucinated
news-38298663,"বাংলাদেশের প্রতিমন্ত্রী তারানা হালিম বলেছেন, পর্ণ সাইটের প্রবেশকারীদের নামের তালিকা করার প্রশ্নই আসেনা।",,All claims are supported.,"The claim refers to Tarena Halim as the Deputy Prime Minister, which is not supported by the report, as the report mentions no such entity or role.",None,None,Entity,None,2,True,Faithful
news-45083152,ঢাকার জিগাতলা এলাকায় বাস চাপায় দুজন শিক্ষার্থীর মৃত্যু কেন্দ্র করে আন্দোলনরত ছাত্র-ছাত্রীদের সাথে পুলিশ এবং ছাত্রলীগের সংঘর্ষ হয়েছে।,,All claims in the report have a status of 'Supported',"The first claim introduces new entities (housing crisis, Jigatala area) that are not supported by the verification report, while the second claim is supported.",None,None,Entity,None,2,True,Faithful
news-44220246,বাংলাদেশের রাজধানী ঢাকার বোয়ালিয়া মডেল থানার প্রধান ফটকের কাছে রয়েছে গরু।,The report does not provide sufficient information to support the claim about the location of the main gate of the Boalia Model Thana.,All claims are supported.,The claim refers to a specific entity (a cow in front of the Botal Model Police Station) which is not supported by the provided information.,Missing Info,None,Entity,Missing Info,1,False,Hallucinated
140925_mk_islamic_scholar_is_isis_isil_open_letter,যুক্তরাষ্ট্রের মুসলিম পন্ডিতরা ইসলামের দোহাই দিয়ে তাদের সামরিক পদক্ষেপকে 'নিষিদ্ধ' ঘোষণা করেছেন।,The text does not mention any specific declaration of military actions as 'haram' by Muslim scholars in the United States.,"The claim states that Muslim scholars declared military actions forbidden, but the report does not mention any such actions.","The report does not support the claim about Muslim scholars in the United States declaring military actions as haram, as it only mentions scholars providing arguments against the Islamic State's actions without specifying the location or exact declarations.",Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
